SUPPLIER_ID,SUPPLIER_NAME,SUPPLIER_ADDRESS,SUPPLIER_POSTCODE,SUPPLIER_EMAIL,SUPPLIER_PHONE,SUPPLIER_CITY,SUPPLIER_COUNTRY,SUPPLIER_TIN,SUPPLIER_IBAN
1,Meevee,858 6th Court,8682,nrushforth0@addthis.com,+7 (548) 289-3937,1,1,9647146787,SE21 9413 6910 7741 1312 2469
2,Zoombox,38 1st Drive,49,ayeats1@1688.com,+353 (390) 441-0278,2,2,4710622787,IE50 YHMH 7147 9275 2319 73
3,Jaxbean,101 Browning Drive,3,garnott2@washington.edu,+58 (941) 235-3027,3,3,8336020403,CZ11 2475 4337 0731 3071 4048
4,Muxo,5 Bowman Park,31043,amapson3@mozilla.com,+55 (904) 283-9307,4,4,9250081286,SA84 83QR D7YQ PELY G8MY V7LA
5,Eamia,973 Boyd Trail,709,btailby4@washington.edu,+352 (947) 167-2791,5,5,4508740766,BR35 6537 4003 0594 7601 8187 223Y 7
6,Rhycero,977 Oxford Park,1252,scolquyte5@t.co,+62 (924) 391-6733,6,6,7038815644,CH44 1812 4XMD 1VCV L5BB A
7,Babbleset,48098 Kipling Drive,42454,rcaslett6@wordpress.org,+55 (597) 764-8294,7,7,6459660158,KZ20 379D BJCM 8FDX TWZT
8,Dabtype,80 Oak Point,6,bradbone7@bandcamp.com,+46 (298) 610-6438,8,8,8492477474,LT06 3931 2096 0704 6303
9,Katz,4 5th Crossing,31,dnazaret8@fotki.com,+374 (912) 489-6787,9,9,9864207202,CR55 9588 4731 2197 2643 1
10,Thoughtstorm,12969 Messerschmidt Crossing,4855,jizac9@usda.gov,+27 (397) 495-8237,10,10,5402007292,IT45 Z565 9940 950U DAMK Y1BA W02
